,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,CatG3
12,GP,M,15,U,LE3,T,1,1,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,5,0,12,13,12,B
13,GP,M,15,U,GT3,T,1,1,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,B
14,GP,M,15,U,GT3,A,0,0,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,5,5,2,1,1,3,0,14,14,15,B
15,GP,F,16,U,GT3,T,1,1,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,4,1,2,2,6,17,17,17,A
16,GP,F,16,U,GT3,T,1,1,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,1,2,3,1,2,2,10,13,13,14,B
17,GP,F,16,U,GT3,T,1,1,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14,B
18,GP,M,17,U,GT3,T,1,0,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,C
19,GP,M,16,U,LE3,T,1,1,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,1,1,3,1,3,5,6,12,12,12,B
20,GP,M,15,U,GT3,T,1,1,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,12,13,14,B
21,GP,M,15,U,GT3,T,1,1,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,B
22,GP,M,16,U,LE3,T,1,0,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,5,1,1,3,5,0,12,13,14,B
23,GP,M,16,U,LE3,T,0,0,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,C
24,GP,F,15,R,GT3,T,0,1,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,5,3,2,1,1,5,2,10,11,10,C
25,GP,F,16,U,GT3,T,0,0,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,B
26,GP,M,15,U,GT3,T,0,0,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,2,2,1,2,5,8,11,12,12,B
27,GP,M,15,U,GT3,T,1,0,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,1,2,4,2,4,1,0,11,11,11,B
28,GP,M,16,U,LE3,A,1,1,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,B
29,GP,M,16,U,GT3,T,1,1,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,5,5,5,4,12,11,12,B
30,GP,M,15,U,GT3,T,1,1,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,B
31,GP,M,15,U,GT3,T,1,1,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,1,1,1,5,2,15,15,15,B
32,GP,M,15,R,GT3,T,1,1,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,5,2,1,1,5,0,13,14,15,B
33,GP,M,15,U,LE3,T,1,1,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,B
34,GP,M,16,U,GT3,T,1,0,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,B
35,GP,F,15,U,GT3,T,0,1,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,1,5,1,1,1,5,4,11,11,11,B
36,GP,M,15,U,LE3,T,1,1,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,B
37,GP,M,16,R,GT3,A,1,1,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,1,4,3,1,1,5,4,13,13,13,B
38,GP,F,15,R,GT3,T,1,1,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,5,3,2,1,1,5,2,11,12,12,B
39,GP,F,15,R,GT3,T,0,0,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,5,3,1,1,1,2,8,14,13,12,B
40,GP,F,16,U,LE3,T,0,0,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,1,2,3,16,11,11,10,C
41,GP,M,15,U,LE3,T,1,1,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,B
42,GP,M,15,U,GT3,T,1,1,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,0,14,15,15,B
43,GP,M,15,U,GT3,T,0,0,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,C
44,GP,F,16,U,LE3,T,0,0,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,5,3,3,2,2,5,14,10,11,11,B
45,GP,F,15,U,LE3,A,1,1,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,B
46,GP,F,16,U,LE3,A,1,1,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,1,3,5,1,4,3,6,13,12,13,B
47,GP,M,16,U,GT3,T,1,1,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,5,2,2,1,1,2,2,17,17,17,A
48,GP,M,15,U,GT3,T,1,0,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,5,3,3,2,2,5,4,11,12,13,B
49,GP,F,15,U,GT3,T,1,1,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,5,4,4,1,1,3,2,13,12,12,B
50,GP,F,16,U,LE3,T,0,0,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,5,3,3,2,3,4,0,14,13,13,B
51,GP,F,15,U,LE3,T,1,0,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,1,5,0,16,14,16,A
52,GP,M,15,U,LE3,A,1,0,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,C
53,GP,F,15,U,GT3,T,1,1,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,1,3,4,2,3,5,0,13,12,12,B
54,GP,F,15,U,LE3,A,1,1,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,B
55,GP,F,16,U,GT3,A,0,0,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,B
56,GP,F,15,U,GT3,A,1,1,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,2,1,1,1,0,15,14,15,B
57,GP,M,15,U,GT3,T,1,1,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,1,2,2,1,1,5,8,15,15,16,A
58,GP,M,15,U,LE3,T,0,0,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,2,1,1,5,0,14,13,14,B
59,GP,F,16,U,GT3,T,1,0,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,5,2,3,1,1,5,2,16,15,16,A
60,GP,F,16,R,GT3,T,1,1,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,1,4,4,2,3,4,0,17,16,16,A
61,GP,F,16,U,GT3,T,0,0,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,A
62,GP,F,16,U,LE3,T,0,0,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,5,4,3,1,1,1,0,13,13,10,C
63,GP,F,16,U,GT3,T,1,1,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,1,4,4,2,4,4,0,14,13,13,B
64,GP,F,15,U,LE3,T,1,1,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,4,4,2,4,2,0,13,12,12,B
65,GP,F,16,U,LE3,T,1,1,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,A
66,GP,M,15,U,GT3,A,1,1,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,B
67,GP,F,16,U,GT3,T,1,0,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,3,3,1,2,5,0,10,9,10,C
68,GP,F,15,R,LE3,T,0,0,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,5,1,3,1,3,4,0,11,10,11,B
69,GP,F,15,R,LE3,T,1,0,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,5,4,2,2,3,3,6,15,15,15,B
70,GP,M,16,U,GT3,T,1,0,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,5,3,2,1,1,5,2,13,11,11,B
71,GP,M,15,U,GT3,T,1,0,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,1,3,3,1,1,3,0,11,9,10,C
72,GP,F,15,R,GT3,T,0,0,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,1,3,4,2,4,5,2,13,11,11,B
73,GP,M,16,U,GT3,T,1,0,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,B
74,GP,F,16,U,GT3,T,1,1,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,2,4,5,4,11,11,11,B
75,GP,M,15,U,GT3,T,1,1,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,2,3,5,0,11,11,11,B
76,GP,M,15,U,GT3,T,1,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,1,4,3,1,1,1,0,12,11,11,B
77,GP,F,16,U,GT3,T,0,0,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,B
78,GP,M,17,U,GT3,T,0,0,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,5,5,1,1,1,3,0,9,9,10,C
79,GP,F,16,U,GT3,T,1,1,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,1,4,3,1,2,3,14,12,11,11,B
80,GP,M,15,U,GT3,T,0,1,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,1,2,2,1,3,3,0,11,11,12,B
81,GP,M,15,U,GT3,T,0,1,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9,C
82,GP,F,15,U,LE3,T,1,0,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,4,4,1,1,5,4,12,11,11,B
83,GP,M,15,U,LE3,T,0,0,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13,B
84,GP,F,15,U,GT3,T,0,0,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,5,3,2,2,3,4,2,13,12,12,B
85,GP,F,15,U,GT3,T,1,1,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,2,3,5,4,12,11,12,B
86,GP,F,16,U,LE3,T,0,0,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,5,3,4,1,2,2,6,13,11,11,B
87,GP,F,15,U,GT3,T,1,0,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15,B
88,GP,M,16,U,GT3,T,0,0,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,5,4,2,1,1,3,6,12,10,11,B
89,GP,M,16,U,LE3,A,1,1,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,3,5,5,6,9,9,10,C
90,GP,F,16,U,GT3,T,1,1,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,5,3,3,1,3,4,2,9,11,11,B
91,GP,F,15,U,GT3,T,1,1,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,5,1,3,1,6,14,13,13,B
92,GP,F,16,U,LE3,T,1,0,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,1,3,3,2,3,2,0,12,13,12,B
93,GP,F,16,U,GT3,T,1,0,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14,B
94,GP,M,15,U,LE3,T,0,0,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,4,2,11,12,12,B
95,GP,F,15,R,GT3,T,0,0,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,1,1,2,1,1,1,4,13,13,13,B
96,GP,M,16,R,GT3,T,1,1,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,1,3,3,1,1,4,6,9,11,11,B
97,GP,F,16,U,GT3,T,0,0,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,5,1,1,5,0,13,12,12,B
98,GP,F,16,U,GT3,T,1,1,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13,B
99,GP,F,16,U,GT3,T,1,1,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13,B
100,GP,M,16,U,GT3,T,1,1,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,5,5,5,5,5,4,12,9,9,8,C
101,GP,M,16,U,GT3,T,1,1,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,3,1,1,4,0,16,16,16,A
102,GP,M,15,U,GT3,T,1,1,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12,B
103,GP,F,15,U,GT3,T,1,0,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,2,16,11,10,10,C
104,GP,M,15,U,GT3,A,1,1,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16,A
105,GP,F,15,U,GT3,A,1,1,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,5,3,3,1,1,4,10,10,10,10,C
106,GP,F,15,U,GT3,T,0,0,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10,C
107,GP,M,16,U,GT3,T,1,1,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14,B
108,GP,M,15,R,GT3,T,1,1,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11,B
109,GP,F,16,U,LE3,T,1,1,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,15,15,14,B
110,GP,M,15,U,LE3,A,1,1,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,4,13,14,14,B
111,GP,F,16,R,GT3,T,1,1,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,5,1,2,1,1,2,4,11,11,11,B
112,GP,F,16,U,GT3,T,0,0,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,1,1,2,1,1,5,12,8,10,10,C
113,GP,M,15,U,LE3,T,1,0,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,1,5,2,1,1,3,10,18,17,18,A
114,GP,M,15,R,GT3,T,0,0,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,4,10,9,10,C
115,GP,M,16,U,GT3,T,1,1,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,6,16,14,14,B
116,GP,M,15,U,GT3,T,1,1,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,5,4,3,1,1,2,4,16,15,16,A
117,GP,M,16,U,GT3,T,1,1,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,6,14,14,15,B
118,GP,M,17,R,GT3,T,0,1,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,14,12,11,11,B
119,GP,M,15,U,GT3,T,1,1,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,1,4,3,1,2,4,2,14,13,14,B
120,GP,F,15,U,GT3,T,0,0,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,1,2,3,1,2,1,0,14,14,14,B
121,GP,M,15,U,GT3,T,0,0,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,14,13,13,B
122,GP,F,16,U,LE3,T,0,1,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,5,2,2,1,2,5,2,14,12,13,B
123,GP,M,16,U,GT3,T,1,1,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,1,4,4,1,4,5,4,12,13,13,B
124,GP,F,16,U,GT3,T,0,0,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,12,11,11,B
125,GP,M,15,U,GT3,T,1,1,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,2,9,9,9,C
126,GP,F,15,U,LE3,A,1,1,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,10,11,11,B
127,GP,F,19,U,GT3,T,0,0,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,no,1,4,2,1,1,5,0,9,10,11,B
128,GP,M,16,R,GT3,T,1,1,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,1,5,5,2,5,4,8,14,14,15,B
129,GP,M,16,U,GT3,T,0,1,other,other,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,1,2,3,2,2,1,4,13,12,13,B
130,GP,F,15,R,GT3,T,1,1,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,5,2,2,2,2,5,0,10,11,12,B
131,GP,F,18,U,GT3,T,0,0,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5,4,5,1,3,5,10,10,9,8,C
132,GP,F,17,U,LE3,A,0,0,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,1,2,2,1,2,5,8,11,10,11,B
133,GP,F,15,U,GT3,T,0,0,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,5,3,3,1,2,4,6,11,12,13,B
134,GP,F,17,U,LE3,T,0,0,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,1,4,4,1,3,5,2,13,12,12,B
135,GP,F,16,U,GT3,A,1,1,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,1,2,1,1,4,5,12,15,13,14,B
136,GP,M,16,U,GT3,T,0,0,at_home,other,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,1,2,1,1,1,2,4,9,9,11,B
137,GP,F,16,U,GT3,A,0,0,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,5,3,4,1,1,5,12,13,11,11,B
138,GP,M,15,R,GT3,T,1,1,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,2,12,11,11,B
139,GP,F,15,U,GT3,T,1,1,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,3,3,1,1,5,4,13,14,15,B
140,GP,M,17,R,GT3,T,1,1,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,2,10,9,10,C
141,GP,F,16,R,GT3,T,0,0,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,3,0,14,13,13,B
142,GP,M,18,U,LE3,T,1,0,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,1,3,4,4,5,4,2,11,11,12,B
143,GP,F,18,U,GT3,A,1,0,other,services,course,other,1,3,0,no,yes,no,yes,no,yes,yes,yes,5,3,3,5,1,5,10,12,11,11,B
144,GP,F,16,R,GT3,T,0,0,other,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,1,3,3,1,2,1,8,12,11,11,B
145,GP,F,16,U,GT3,A,1,1,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,5,3,2,1,1,5,4,9,9,10,C
146,GP,M,16,U,LE3,T,0,0,services,other,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,5,4,4,1,3,5,0,10,10,10,C
147,GP,F,15,U,GT3,T,1,1,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,5,3,2,1,1,5,6,13,14,14,B
148,GP,F,15,R,GT3,T,0,0,other,other,course,mother,3,1,1,no,no,no,yes,yes,yes,yes,yes,5,5,5,1,1,1,2,8,9,9,C
149,GP,M,15,U,GT3,T,1,1,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,1,2,2,1,1,3,6,9,11,11,B
150,GP,F,15,U,GT3,A,1,1,services,services,home,mother,1,2,0,no,no,no,no,no,yes,no,yes,1,3,2,2,3,1,24,9,8,9,C
151,GP,M,16,U,GT3,T,1,1,services,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,5,0,15,13,13,B
152,GP,M,16,U,LE3,T,0,0,services,services,reputation,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,1,3,3,2,2,2,4,12,11,11,B
153,GP,F,15,U,GT3,T,1,1,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,5,2,13,13,13,B
154,GP,F,16,U,LE3,T,0,0,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,1,4,4,3,3,1,4,10,11,11,B
155,GP,M,17,U,GT3,T,0,0,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,6,C
156,GP,F,15,U,GT3,T,0,0,other,services,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,5,4,2,1,2,5,0,12,12,12,B
157,GP,F,15,U,LE3,A,0,0,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,5,4,2,1,1,5,0,11,10,10,C
158,GP,F,15,U,GT3,T,1,0,health,services,home,father,1,2,1,no,yes,no,no,yes,yes,yes,no,1,3,2,1,1,3,2,11,11,11,B
159,GP,F,15,U,GT3,T,0,0,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,2,1,1,5,6,13,12,13,B
160,GP,F,15,U,GT3,T,0,0,at_home,services,course,father,1,2,0,no,no,no,no,no,yes,no,yes,1,3,4,2,4,1,6,11,11,11,B
161,GP,M,16,U,GT3,T,1,1,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,1,3,2,2,1,5,16,9,9,8,C
162,GP,M,15,U,LE3,A,0,0,services,other,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,5,5,5,2,5,5,0,12,11,11,B
163,GP,M,18,U,LE3,T,0,0,other,other,course,mother,1,1,2,no,no,no,no,yes,no,yes,yes,1,3,5,2,5,4,0,11,9,0,D
164,GP,M,16,U,LE3,T,0,0,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,5,4,4,3,5,5,6,9,10,10,C
165,GP,F,15,R,GT3,T,1,1,services,services,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,1,2,3,3,2,13,13,13,B
166,GP,M,19,U,GT3,T,1,0,services,at_home,home,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,5,5,4,1,1,4,6,11,9,11,B
167,GP,F,17,U,GT3,T,1,1,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,5,2,1,1,1,4,0,13,13,13,B
168,GP,M,15,R,GT3,T,0,1,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,5,4,4,1,1,1,0,7,8,8,C
169,GP,M,17,R,LE3,T,0,0,other,other,reputation,mother,1,1,3,no,no,no,no,yes,yes,no,no,1,2,2,3,3,5,14,9,8,10,C
170,GP,F,18,R,GT3,T,0,0,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,11,10,11,B
171,GP,M,16,R,GT3,T,0,0,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,5,2,2,1,2,3,4,12,10,11,B
172,GP,M,16,U,GT3,T,1,1,other,services,course,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,5,5,5,4,4,5,0,10,10,1,D
